rank,player_id,points,name_first,name_last,hand,dob,ioc,height
919,105502,15,N Sriram,Balaji,R,19900318,IND,
955,144925,14,Nitin Kumar,Sinha,U,19990220,IND,
959,133794,14,S D Prajwal,Dev,R,19960527,IND,
985,111801,13,Rishab,Agarwal,R,19951205,IND,
184,106368,360,Ramkumar,Ramanathan,R,19941108,IND,188.0
219,105432,293,Prajnesh,Gunneswaran,L,19891112,IND,
222,111576,290,Sumit,Nagal,R,19970816,IND,
414,124154,99,Sasi Kumar,Mukund,R,19970114,IND,
563,105031,56,Saketh,Myneni,R,19871019,IND,193.0
565,106168,56,Sidharth,Rawat,U,19930421,IND,
673,200176,38,Manish,Sureshkumar,R,19990813,IND,
742,144681,30,Niki,Kaliyanda Poonacha,R,19950427,IND,
777,111459,26,Arjun,Kadhe,R,19940107,IND,
865,200036,18,Abhinav Sanjeev,Shanmugam,U,19981115,IND,
862,106026,18,Yuki,Bhambri,R,19920704,IND,183.0
928,207183,13,Ishaque,Eqbal,R,19980117,IND,
932,200014,13,Digvijaypratap,Singh,R,20000602,IND,
990,209956,11,Dev,Javia,U,20020316,IND,
